,AFP,F2,CEACAM5,TP53,CD8A,ASPM,CCNB1,CDK1,DLGAP5,KIF20A,MT1X,TOP2A,SOCS2,AKR1C3,PTEN,FAM83D,CDC20,AOX1,CYP2E1,LAMC1,UBE4B,HSPH1,HNF1A,SF3B1,APC2,CHST4,HGF,MTHFD2,AGO3,PRC1,UBE2C,NUSAP1,IRF9,PFKFB3,DTX3L,UTP15,ALG5,labels
GSM4043305_HCC173_HTA_2_0.CEL,10.856391319782,9.76606695693088,4.50360847444984,7.62669154225284,6.30450481621291,7.44051190627098,5.41519820185179,4.30794963019808,5.11608534326913,5.26149300011192,5.45721452631411,6.48861235648059,5.67575193930945,7.58206467292851,7.64296740881243,5.96704346595075,6.3156188291477,8.44017989786981,10.819106699577,8.69752536860529,6.37708356190477,6.69704612089626,7.2096071989006,8.61620998527171,6.39833257583474,4.94164535433736,4.11298855072706,4.45768103550641,6.2764842600078,5.92777881047843,6.34734956028251,5.99081512265419,6.84302566296101,6.24244551620367,7.04958937073938,4.97194541099648,5.68394287958983,cancer
GSM4043306_HCC179_HTA_2_0.CEL,6.0649664111738,10.0956454009686,4.75105019414913,7.39446845661598,5.97697018119719,5.96837718467941,5.16627156904154,3.85064778591024,4.34400166791358,5.1565483439227,5.70959302431634,6.01279913850885,6.04014861417814,7.0609908859365,7.50832924606098,5.92042720793477,5.85716065050537,9.41057731186976,11.4198635380149,8.95380727312454,6.82787570719393,6.85861945244605,6.97819476565137,8.91650868721892,6.12454093679735,5.00999383980044,4.66815019991655,4.45532218005694,6.25612468899066,6.63369147496257,5.98994311387027,6.11674119619394,7.05392332141321,6.20490884911184,7.81012870967004,5.37872363236529,5.44871594588076,cancer
GSM4043307_HCC180_HTA_2_0.CEL,4.5592281697368,10.1018041279328,4.40519292154865,7.04870975027218,6.50585813049557,5.04821788105047,5.06863102572636,3.62601212917026,4.41887187221551,5.00749679206522,8.46636583191322,5.39876193386116,6.25764061479202,5.59665863159236,7.49297779947305,5.41076340377889,5.8119769738588,5.03630591489911,5.37448195663806,9.09245182625596,6.90561851499344,7.10395161584354,6.5742825255976,8.9015646431504,6.03056449903287,5.40737177719066,6.3329406132439,5.78228172414806,6.66561571180385,5.78616556373052,5.88228666295449,5.77551786083059,6.65315009479824,7.40856938947951,7.26689393139778,5.48521111006297,5.61021818033712,cancer
GSM4043308_HCC188_HTA_2_0.CEL,3.801797233562,9.72468933298355,4.66482496303686,7.01866634616625,5.93172485732191,6.0715842173794,5.15194762986585,3.78655524333872,4.62545013877357,5.39846321404623,8.6470552815837,5.8932382093351,5.74255853999384,8.90311408884655,7.53911708959512,6.45207545803993,5.75897908694578,10.6843062292041,11.8273825791311,8.339119760708,6.75311255706637,7.57533738332562,6.84083854039039,8.76403474763975,5.99200953395746,4.69992339326762,4.87767094350157,4.86236799807786,6.18882569874193,6.06813332014169,5.98436911157074,6.25687272032711,6.77493554565201,6.43370711472108,8.25096762916802,5.99739741072405,6.15095851317004,cancer
GSM4043309_HCC190_HTA_2_0.CEL,4.54297323035691,9.75577529925721,4.43314571278761,7.50878165912818,6.01701193684909,6.4961237164619,6.20201422425173,4.87984290704989,5.86921401153757,5.96982668182561,6.39154466807023,7.4126707673575,5.54999608795603,7.18594800570243,7.87678910109131,6.00232383703616,6.14526003160908,6.00310919543337,6.74324253486592,9.23563637340511,6.73546084702726,7.38261185927034,6.94991077028614,9.84250481727604,6.1724808031074,4.88853803625948,4.66237867561328,4.35319817281595,7.04425960319114,6.93348587381946,6.49344603472031,7.24999707423097,6.50595125542035,6.19645885726324,5.68323915675191,5.12703410294519,5.91163383360571,cancer
GSM4043310_HCC191_HTA_2_0.CEL,5.29884630950321,9.77911801628486,4.6625646096438,6.70433802574514,6.26446223332777,5.81243428647482,4.88435584389284,3.587825758852,4.27432244384449,5.07258907166011,9.64825254956291,5.61164522191891,6.09677043895382,8.29523416538364,7.05359807040492,5.9459420935308,5.97192463352047,10.8465356295372,11.3248247246858,8.11506114409751,7.01485155441614,7.6962265303648,6.78505734821318,8.65890992356396,6.08658099493965,5.9680552109056,6.02556813115639,4.7453237809132,6.55841321759243,5.8565107319575,5.96950201753577,5.72819980717716,6.64984134819542,6.85456774575363,7.77822463490569,5.50992022758852,5.85944108628587,cancer
GSM4043311_HCC192_HTA_2_0.CEL,3.3594022305078,9.75187962335181,4.5786855432248,7.13640931307366,6.05908083825226,6.46785190013948,5.38984431775144,4.0686559877189,4.87033769723646,5.46698932412825,7.53507809584475,6.06573323248694,5.72097033770046,8.44793088936023,7.63988323227974,6.45228257266974,5.86440903181481,10.9753383417746,5.49263305559261,8.26785555786129,7.08124534454967,7.57114460833288,6.78468295754526,8.86496103565429,6.03874004823007,4.99916220455039,3.93037765729094,4.66832532839364,6.32237360542933,5.93067527950639,6.02661283540553,6.23208549030301,6.48924891910956,6.30368502640306,8.70522621468621,6.51477040264891,5.76122293299342,cancer
GSM4043312_HCC193_HTA_2_0.CEL,5.65640401893919,9.35109372038695,4.40649937083524,7.20313532130948,5.99054317578723,5.70367870611443,5.63544816826094,4.36923786078069,5.25326647158364,5.82530350727486,9.19182375559051,6.45041643254143,5.82575905949302,8.43282075697575,7.8022375870163,6.43727737022435,6.06268861305026,8.90412275613192,11.9808707186867,8.43918321751958,7.94968643382046,7.54862966621368,6.86265575673612,9.0101860936842,6.02936674665986,5.11785077810394,4.93483103491668,4.48577296099682,6.86993056576175,6.39178337211033,6.01350205587953,6.69200688349718,6.78421536371274,6.23987127083154,8.22817613180139,5.31733547637667,5.76122293299342,cancer
GSM4043313_HCC200_HTA_2_0.CEL,10.3338107264811,9.80017878686336,4.52862705274991,6.95806270169476,5.85348603202062,7.55299537520976,5.67742510483496,4.79828737019307,5.7844605871773,6.03919047305278,5.99632258255011,6.96072088253977,6.15740532317177,7.56407014626664,7.83088904151826,6.39187461859822,5.92908904320545,9.01541724827569,11.7445016675186,8.51369649952586,6.69511854717814,6.74098665681659,6.94455214262335,8.81770437839471,5.93142297546281,4.76366409084442,4.20195005818225,4.65085392056533,6.32919064919312,6.81459276802458,6.11590613063246,7.0864053755829,6.80333319497608,6.21871352062439,7.96724379219376,6.04911542791876,5.4545309168587,cancer
GSM4043314_HCC201_HTA_2_0.CEL,6.39838407143929,10.3292710289683,4.62487779417839,6.56829539978952,6.01190269806204,6.2739690816374,5.14063723180759,3.45472158401215,4.77686327567215,5.21153456947947,6.6214932116868,5.89949596247536,6.20614179350861,7.18770352785366,6.86488512631469,5.77410123354987,6.03630317695863,9.08593043710491,11.23507988636,7.83579160767396,7.33638898959699,6.64994922843078,6.91851467567126,8.65240021520134,6.18764901941163,5.02258316121495,4.28500059973826,4.62429551632391,7.18120022490372,5.41119408111036,6.05158364690531,6.1966945043921,6.69957108305709,6.60986935760096,7.02464675639564,5.31665115944102,5.94586784535801,cancer
GSM4043315_NTL004_HTA_2_0.CEL,3.82605958399263,10.5144598728025,4.67135107266519,6.95768457528908,6.23658055368967,3.3437975133084,4.43407255622034,2.9949446529336,3.59279426535276,4.43580760960288,10.7985367796868,3.93864090723139,5.68641205114198,6.90659465763636,7.56795652749489,5.52070895030453,5.72153892797876,10.6878592284632,11.7373102542241,6.76978892813944,6.97290454123983,6.8229751471758,6.92610596995695,8.51460491870683,6.25065025238806,5.74088050058217,6.34801987993332,5.20305277420697,6.57717913831278,4.70158008497405,5.68765416808744,4.42855235707261,6.86041929127152,7.11178927426877,7.36928753191662,5.22624916201388,5.88694302580075,healthy
GSM4043316_NTL011_HTA_2_0.CEL,3.55847820507538,10.3712983541746,4.57098640679632,6.80449232001734,6.29480760672041,4.92317979918907,5.00810066765076,3.73950137434829,4.37030052333942,4.9891228240938,10.9133313632786,5.27024759636694,7.8294211398719,6.62195631581122,7.52079162087848,5.84550110954899,5.92082845296621,10.9069995378014,11.731691073268,6.60000333722518,6.97152853909298,6.63617847706411,6.91938564646331,8.56656543274244,6.32421097854615,5.5240259809608,6.48304842805681,4.5100750779379,6.53777009484522,5.75346602688918,5.94583895680472,6.17671927042538,6.91286783291565,7.42566623085763,7.66189123332423,4.96254074985678,5.69942025156587,healthy
